Port,latitude,longitude,geometry,AOI_projected,AOI
Amamapare ,-4.81667,136.96667,POINT (136.96667 -4.81667),"POLYGON ((10057039.941561881 4345244.843033175, 10057039.941561881 4301244.843033175, 10013039.941561881 4301244.843033175, 10013039.941561881 4345244.843033175, 10057039.941561881 4345244.843033175))","POLYGON ((136.90267174631032 -4.655020525136093, 137.12780425696056 -4.752118272892944, 137.03100779815128 -4.978640815893053, 136.80519620257908 -4.880855191618215, 136.90267174631032 -4.655020525136093))"
Ambon ,-3.68333,128.16667,POINT (128.16667 -3.68333),"POLYGON ((9504811.45206234 5850651.04158522, 9504811.45206234 5806651.04158522, 9460811.45206234 5806651.04158522, 9460811.45206234 5850651.04158522, 9504811.45206234 5850651.04158522))","POLYGON ((128.1272180821322 -3.517001081105352, 128.33232083791063 -3.6433734691637056, 128.2063370272391 -3.8500543122266486, 128.00080405571705 -3.7228577667899754, 128.1272180821322 -3.517001081105352))"
Ampenan ,-8.56667,116.06667,POINT (116.06667 -8.56667),"POLYGON ((7542672.219195035 7022501.484330176, 7542672.219195035 6978501.484330176, 7498672.219195035 6978501.484330176, 7498672.219195035 7022501.484330176, 7542672.219195035 7022501.484330176))","POLYGON ((116.06008094085954 -8.38326069953341, 116.25114736134178 -8.55981415874357, 116.07329905947981 -8.750544490700598, 115.88215263905053 -8.572970709252974, 116.06008094085954 -8.38326069953341))"
Anyer Lor ,-6.05,105.91667,POINT (105.91667 -6.05),"POLYGON ((6542715.543874499 8516031.980708841, 6542715.543874499 8472031.980708841, 6498715.543874499 8472031.980708841, 6498715.543874499 8516031.980708841, 6542715.543874499 8516031.980708841))","POLYGON ((105.93968569817567 -5.874405606235207, 106.09236443158977 -6.072856877395442, 105.89352131632626 -6.226034176117877, 105.74110855173926 -6.026644404659626, 105.93968569817567 -5.874405606235207))"
Ardjuna Oil Field ,-5.88333,107.71667,POINT (107.71667 -5.88333),"POLYGON ((6809121.691165816 8342528.459749063, 6809121.691165816 8298528.459749063, 6765121.691165816 8298528.459749063, 6765121.691165816 8342528.459749063, 6809121.691165816 8342528.459749063))","POLYGON ((107.73445739241029 -5.707559903365214, 107.89247364812458 -5.900941554404285, 107.69877975847177 -6.059545766360176, 107.54096919930156 -5.865215752172024, 107.73445739241029 -5.707559903365214))"
Balikpapan ,-1.25,116.81667,POINT (116.81667 -1.25),"POLYGON ((8595711.241200248 7808069.0398205565, 8595711.241200248 7764069.0398205565, 8551711.241200248 7764069.0398205565, 8551711.241200248 7808069.0398205565, 8595711.241200248 7808069.0398205565))","POLYGON ((116.8088148429045 -1.0855582799910521, 116.98024239238339 -1.241852240595287, 116.8245674260475 -1.4148720562527082, 116.65305533927187 -1.2577069369188036, 116.8088148429045 -1.0855582799910521))"
Banjarmasin ,-3.33333,114.58333,POINT (114.58333 -3.33333),"POLYGON ((8028149.194930816 7846466.532285631, 8028149.194930816 7802466.532285631, 7984149.194930816 7802466.532285631, 7984149.194930816 7846466.532285631, 8028149.194930816 7846466.532285631))","POLYGON ((114.58139087618905 -3.1632701786440807, 114.75275603475191 -3.331139172245854, 114.58527993172336 -3.503833111824753, 114.41389315750266 -3.335047666180282, 114.58139087618905 -3.1632701786440807))"
Banten ,-6.01667,105.96667,POINT (105.96667 -6.01667),"POLYGON ((6553245.079759786 8515318.275348758, 6553245.079759786 8471318.275348758, 6509245.079759786 8471318.275348758, 6509245.079759786 8515318.275348758, 6553245.079759786 8515318.275348758))","POLYGON ((105.98952961141505 -5.8411417963289, 106.1422869293952 -6.039371734413034, 105.94367836305447 -6.192638055957828, 105.79118509398336 -5.993469861394446, 105.98952961141505 -5.8411417963289))"
Baubau ,-5.46667,122.61667,POINT (122.61667 -5.46667),"POLYGON ((8679598.729798954 6497040.542091438, 8679598.729798954 6453040.542091438, 8635598.729798954 6453040.542091438, 8635598.729798954 6497040.542091438, 8679598.729798954 6497040.542091438))","POLYGON ((122.5916947502118 -5.292864642586172, 122.7902558956423 -5.441327995064455, 122.6417879337388 -5.640909471239522, 122.44294142267414 -5.491525571447401, 122.5916947502118 -5.292864642586172))"
Belanak Field Terminal ,4.15,106.25,POINT (106.25 4.15),"POLYGON ((7778216.484124218 10011869.63454145, 7778216.484124218 9967869.63454145, 7734216.484124218 9967869.63454145, 7734216.484124218 10011869.63454145, 7778216.484124218 10011869.63454145))","POLYGON ((106.26868424448332 4.299217448208547, 106.39885166463517 4.131373359031322, 106.23122432514538 4.000395007252897, 106.10123976466403 4.1689850840811475, 106.26868424448332 4.299217448208547))"
Belawan ,3.78333,98.68333,POINT (98.68333 3.78333),"POLYGON ((6443324.0933174705 10830266.274886755, 6443324.0933174705 10786266.274886755, 6399324.0933174705 10786266.274886755, 6399324.0933174705 10830266.274886755, 6443324.0933174705 10830266.274886755))","POLYGON ((98.72046997582976 3.9300291589641723, 98.82963509952886 3.7460969211593826, 98.64601145277844 3.6362761988907097, 98.53720346994196 3.8208908551313336, 98.72046997582976 3.9300291589641723))"
Belida Marine Terminal ,4.13333,105.13333,POINT (105.13333 4.13333),"POLYGON ((7591890.990669943 10149489.642909588, 7591890.990669943 10105489.642909588, 7547890.990669943 10105489.642909588, 7547890.990669943 10149489.642909588, 7591890.990669943 10149489.642909588))","POLYGON ((105.15473577982155 4.2822235484183375, 105.2818606480661 4.111961992898541, 105.11181970326271 3.9840525485062392, 104.98490386763574 4.155052909072441, 105.15473577982155 4.2822235484183375))"
Bengkalis ,1.46667,102.1,POINT (102.1 1.46667),"POLYGON ((6778442.88560412 10066806.413036916, 6778442.88560412 10022806.413036916, 6734442.88560412 10022806.413036916, 6734442.88560412 10066806.413036916, 6778442.88560412 10066806.413036916))","POLYGON ((102.13002112916323 1.621235928782662, 102.25384959150203 1.4365680487688122, 102.06982704730025 1.311717840106725, 101.94630223017674 1.4971469203481595, 102.13002112916323 1.621235928782662))"
Bengkulu ,-3.78333,102.25,POINT (102.25 -3.78333),"POLYGON ((6246924.871164876 9227610.8031118, 6246924.871164876 9183610.8031118, 6202924.871164876 9183610.8031118, 6202924.871164876 9227610.8031118, 6246924.871164876 9227610.8031118))","POLYGON ((102.28228508261743 -3.6151850213292316, 102.41768279591655 -3.815626431530155, 102.21753693017783 -3.951887345783072, 102.08249518869866 -3.750586818273223, 102.28228508261743 -3.6151850213292316))"
Benoa ,-8.75,115.21667,POINT (115.21667 -8.75),"POLYGON ((7421949.449896886 7105233.729291101, 7421949.449896886 7061233.729291101, 7377949.449896886 7061233.729291101, 7377949.449896886 7105233.729291101, 7421949.449896886 7105233.729291101))","POLYGON ((115.21263384994938 -8.56605253431947, 115.40178784904148 -8.745692878239423, 115.22073073668508 -8.934414153485907, 115.0315275647772 -8.753748072768541, 115.21263384994938 -8.56605253431947))"
Bitung ,1.43333,125.18333,POINT (125.18333 1.43333),"POLYGON ((10007427.464175383 6854256.094776302, 10007427.464175383 6810256.094776302, 9963427.464175383 6810256.094776302, 9963427.464175383 6854256.094776302, 10007427.464175383 6854256.094776302))","POLYGON ((125.15451195727272 1.5882167667551457, 125.33734843645611 1.4625950838916808, 125.21229408392907 1.2780544096958388, 125.02916552414237 1.404442721420075, 125.15451195727272 1.5882167667551457))"
Blanglancang ,5.23333,97.1,POINT (97.1 5.23333),"POLYGON ((6307711.832524945 11256480.825441226, 6307711.832524945 11212480.825441226, 6263711.832524945 11212480.825441226, 6263711.832524945 11256480.825441226, 6307711.832524945 11256480.825441226))","POLYGON ((97.13995982883038 5.375313630587519, 97.24189232937363 5.193328651418275, 97.05985385883386 5.091009395114197, 96.95829398110722 5.273632978831263, 97.13995982883038 5.375313630587519))"
